species,oplossing,batch,n,groei,ontkiemt,blaadjes,bladkleur
cress,0,1,1,10,1,6,licht_groen
cress,0,1,2,18,1,6,donker_groen
cress,0,1,3,19,1,6,groen
cress,0,1,4,9,1,6,geel_groen
cress,0,1,5,9,1,6,donker_groen
cress,0,1,6,11,1,5,donker_groen
cress,0,1,7,12,1,6,geel_groen
cress,0,1,8,5,1,3,donker_groen
cress,0,1,9,19,1,6,donker_groen
cress,0,1,10,11,1,2,donker_groen
cress,0,1,11,10,1,2,donker_groen
cress,0,1,12,12,1,6,donker_groen
cress,0,1,13,10,1,3,donker_groen
cress,0,1,14,10,1,6,donker_groen
cress,0,1,15,14,1,6,groen
cress,0,1,16,12,1,6,donker_groen
cress,0,1,17,13,1,6,donker_groen
cress,0,1,18,17,1,6,donker_groen
cress,0,1,19,8,1,6,geel_groen
cress,0,1,20,10,1,6,donker_groen
cress,0,1,21,10,1,1,bruin
cress,0,1,22,7,1,6,donker_groen
cress,0,1,23,6,1,5,donker_groen
cress,0,1,24,11,1,5,geel_groen
cress,0,1,25,14,1,6,geel_groen
cress,0,1,26,7,1,4,groen
cress,0,1,27,14,1,6,geel_groen
cress,0,1,28,14,1,6,licht_groen
cress,0,1,29,9,1,4,geel_groen
cress,0,1,30,10,1,5,licht_groen
cress,0,1,31,15,1,6,licht_groen
cress,0,1,32,13,1,6,groen
cress,0,1,33,10,1,4,bruin
cress,0,1,34,16,1,6,groen
cress,0,1,35,16,1,6,groen
cress,0,1,36,12,1,6,groen
cress,0,1,37,6,1,6,donker_groen
cress,0,1,38,8,1,6,donker_groen
cress,0,1,39,7,1,6,groen
cress,0,1,40,9,1,5,geel_groen
cress,0,1,41,12,1,6,donker_groen
cress,0,1,42,11,1,6,groen
cress,0,1,43,12,1,6,groen
cress,0,1,44,15,1,6,licht_groen
cress,0,1,45,7,1,6,donker_groen
cress,0,1,46,10,1,6,licht_groen
cress,0,1,47,13,1,6,groen
cress,0,1,48,13,1,6,licht_groen
cress,0,1,49,10,1,6,groen
cress,0,1,50,10,1,6,groen
cress,0.03,1,51,19,1,6,groen
cress,0.03,1,52,9,1,6,donker_groen
cress,0.03,1,53,11,1,6,donker_groen
cress,0.03,1,54,21,1,6,groen
cress,0.03,1,55,16,1,6,geel_groen
cress,0.03,1,56,18,1,6,groen
cress,0.03,1,57,19,1,6,groen
cress,0.03,1,58,10,1,6,donker_groen
cress,0.03,1,59,16,1,6,donker_groen
cress,0.03,1,60,11,1,6,donker_groen
cress,0.03,1,61,15,1,6,geel_groen
cress,0.03,1,62,18,1,6,geel_groen
cress,0.03,1,63,11,1,6,donker_groen
cress,0.03,1,64,10,1,6,groen
cress,0.03,1,65,15,1,6,groen
cress,0.03,1,66,17,1,6,geel_groen
cress,0.03,1,67,13,1,6,licht_groen
cress,0.03,1,68,11,1,6,groen
cress,0.03,1,69,11,1,6,geel_groen
cress,0.03,1,70,14,1,6,licht_groen
cress,0.03,1,71,14,1,6,groen
cress,0.03,1,72,13,1,6,licht_groen
cress,0.03,1,73,20,1,6,groen
cress,0.03,1,74,14,1,6,geel_groen
cress,0.03,1,75,14,1,6,licht_groen
cress,0.03,1,76,13,1,6,groen
cress,0.03,1,77,15,1,6,donker_groen
cress,0.03,1,78,15,1,6,donker_groen
cress,0.03,1,79,13,1,6,geel_groen
cress,0.03,1,80,9,1,6,geel_groen
cress,0.03,1,81,12,1,6,geel_groen
cress,0.03,1,82,14,1,6,licht_groen
cress,0.03,1,83,15,1,6,groen
cress,0.03,1,84,17,1,6,licht_groen
cress,0.03,1,85,12,1,6,geel_groen
cress,0.03,1,86,10,1,6,groen
cress,0.03,1,87,13,1,6,geel_groen
cress,0.03,1,88,0,0,0,geen
cress,0.03,1,89,12,1,5,donker_groen
cress,0.03,1,90,14,1,6,donker_groen
cress,0.03,1,91,17,1,6,groen
cress,0.03,1,92,11,1,6,groen
cress,0.03,1,93,9,1,6,geel_groen
cress,0.03,1,94,9,1,6,geel_groen
cress,0.03,1,95,9,1,6,groen
cress,0.03,1,96,20,1,6,groen
cress,0.03,1,97,12,1,6,groen
cress,0.03,1,98,16,1,6,groen
cress,0.03,1,99,12,1,6,geel_groen
cress,0.03,1,100,11,1,6,geel_groen
cress,0.06,1,101,14,1,6,geel_groen
cress,0.06,1,102,15,1,6,groen
cress,0.06,1,103,10,1,6,groen
cress,0.06,1,104,10,1,6,groen
